pair,gene,gene_name,log2fc,cav_r
neutrophil__breast__normal_vs_breast_cancer,ENSG00000188846,RPL14,-0.7894073667809699,-0.0554836401787699
neutrophil__breast__normal_vs_breast_cancer,ENSG00000118503,TNFAIP3,-0.7863196095506886,-0.0953432786189546
neutrophil__breast__normal_vs_breast_cancer,ENSG00000085265,FCN1,0.7861803077170231,0.2587428394599059
neutrophil__breast__normal_vs_breast_cancer,ENSG00000111796,KLRB1,-0.7810112368619067,-0.2819285482881605
neutrophil__breast__normal_vs_breast_cancer,ENSG00000100242,SUN2,-0.7804756583477723,-0.2107896587908116
neutrophil__breast__normal_vs_breast_cancer,ENSG00000101336,HCK,0.7772993497244827,0.3769766255297999
neutrophil__breast__normal_vs_breast_cancer,ENSG00000254087,LYN,0.7767685068778629,0.3628763693346355
neutrophil__breast__normal_vs_breast_cancer,ENSG00000042493,CAPG,0.7759102986777087,0.3533086534743786
neutrophil__breast__normal_vs_breast_cancer,ENSG00000111229,ARPC3,0.7721894696103278,0.3230650124943224
neutrophil__breast__normal_vs_breast_cancer,ENSG00000166927,MS4A7,0.7713012289173152,0.4675055567139782
neutrophil__breast__normal_vs_breast_cancer,ENSG00000188042,ARL4C,-0.7669535598765418,-0.0936907431656918
neutrophil__breast__normal_vs_breast_cancer,ENSG00000136826,KLF4,0.7653961512840806,0.3767527709813756
neutrophil__breast__normal_vs_breast_cancer,ENSG00000104870,FCGRT,0.7648183063646685,0.4642820618865688
neutrophil__breast__normal_vs_breast_cancer,ENSG00000177606,JUN,0.7620791990434843,0.0935002332301211
neutrophil__breast__normal_vs_breast_cancer,ENSG00000211751,TRBC1,-0.7619806647312223,-0.2711314398825503
neutrophil__breast__normal_vs_breast_cancer,ENSG00000035862,TIMP2,0.7613544020466594,0.436124700972015
neutrophil__breast__normal_vs_breast_cancer,ENSG00000010278,CD9,0.7609714480583235,0.4082478314430109
neutrophil__breast__normal_vs_breast_cancer,ENSG00000178719,GRINA,0.7577955831686591,0.4411755029744909
neutrophil__breast__normal_vs_breast_cancer,ENSG00000140678,ITGAX,0.7577378407212515,0.4206196627243047
neutrophil__breast__normal_vs_breast_cancer,ENSG00000128524,ATP6V1F,0.7446145908669706,0.329545056990487
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204482,LST1,0.7366504534699193,0.3211765797114037
neutrophil__breast__normal_vs_breast_cancer,ENSG00000100316,RPL3,-0.7320143175203182,-0.2012347510392279
neutrophil__breast__normal_vs_breast_cancer,ENSG00000116824,CD2,-0.7306197581068458,-0.1767717964563157
neutrophil__breast__normal_vs_breast_cancer,ENSG00000173812,EIF1,0.7275644980355818,0.1602668294402055
neutrophil__breast__normal_vs_breast_cancer,ENSG00000136235,GPNMB,0.7275064929494234,0.3644621428325674
neutrophil__breast__normal_vs_breast_cancer,ENSG00000167552,TUBA1A,0.72503592910481,0.233690014454693
neutrophil__breast__normal_vs_breast_cancer,ENSG00000130208,APOC1,0.7223891259461646,0.4011553210580515
neutrophil__breast__normal_vs_breast_cancer,ENSG00000185262,UBALD2,-0.7213502825835936,-0.033708063704877
neutrophil__breast__normal_vs_breast_cancer,ENSG00000078369,GNB1,0.7211201784360572,0.1778986113455749
