pair,gene,gene_name,r,rank,l2_score,expr_scaled
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,3.3119,0.44345883
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,2.4482,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,0.8165,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,3.7217,0.3528399
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,3.9772,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,3.695,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,1.5749,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,6.8739,0.78090537
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,5.6583,0.96541315
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,6.3281,0.64465976
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,6.2147,0.61735886
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,6.2065,0.6936127
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,4.3917,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,4.0157,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,4.0725,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,5.0789,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,4.931,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,3.1704,0.38144037
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,2.0057,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,2.2225,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,3.1448,0.4014325
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,1.5987,0.48084563
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,4.0453,0.38830528
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,3.5922,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,3.7844,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,2.3474,0.0
