pair,l2_score,is_baseline
neutrophil__breast__normal_vs_breast_cancer,8.4128,False
neutrophil__breast__normal_vs_breast_cancer,5.0136,False
neutrophil__breast__normal_vs_breast_cancer,7.4161,False
neutrophil__breast__normal_vs_breast_cancer,7.5696,False
neutrophil__breast__normal_vs_breast_cancer,4.6287,False
neutrophil__breast__normal_vs_breast_cancer,5.8601,False
neutrophil__breast__normal_vs_breast_cancer,5.64,False
neutrophil__breast__normal_vs_breast_cancer,6.5795,False
neutrophil__breast__normal_vs_breast_cancer,5.1489,False
neutrophil__breast__normal_vs_breast_cancer,7.0455,False
neutrophil__breast__normal_vs_breast_cancer,5.8978,False
neutrophil__breast__normal_vs_breast_cancer,8.1916,False
neutrophil__breast__normal_vs_breast_cancer,7.2164,False
neutrophil__breast__normal_vs_breast_cancer,5.8396,False
neutrophil__breast__normal_vs_breast_cancer,6.0557,False
neutrophil__breast__normal_vs_breast_cancer,6.3027,False
neutrophil__breast__normal_vs_breast_cancer,6.5073,False
neutrophil__breast__normal_vs_breast_cancer,6.8604,False
neutrophil__breast__normal_vs_breast_cancer,7.5806,False
neutrophil__breast__normal_vs_breast_cancer,5.6193,False
neutrophil__breast__normal_vs_breast_cancer,7.9605,False
neutrophil__breast__normal_vs_breast_cancer,6.2139,False
neutrophil__breast__normal_vs_breast_cancer,6.5166,False
neutrophil__breast__normal_vs_breast_cancer,7.2354,False
neutrophil__breast__normal_vs_breast_cancer,6.8515,False
neutrophil__breast__normal_vs_breast_cancer,6.4311,False
neutrophil__breast__normal_vs_breast_cancer,7.0115,False
neutrophil__breast__normal_vs_breast_cancer,3.4945,False
neutrophil__breast__normal_vs_breast_cancer,5.818,False
neutrophil__breast__normal_vs_breast_cancer,6.3874,False
neutrophil__breast__normal_vs_breast_cancer,5.3496,False
neutrophil__breast__normal_vs_breast_cancer,6.114,False
neutrophil__breast__normal_vs_breast_cancer,4.9654,False
neutrophil__breast__normal_vs_breast_cancer,8.2336,False
neutrophil__breast__normal_vs_breast_cancer,5.5648,False
neutrophil__breast__normal_vs_breast_cancer,5.978,False
neutrophil__breast__normal_vs_breast_cancer,6.2157,False
neutrophil__breast__normal_vs_breast_cancer,5.8683,False
neutrophil__breast__normal_vs_breast_cancer,7.0541,False
neutrophil__breast__normal_vs_breast_cancer,6.6998,False
neutrophil__breast__normal_vs_breast_cancer,6.6635,False
neutrophil__breast__normal_vs_breast_cancer,6.8882,False
neutrophil__breast__normal_vs_breast_cancer,5.8694,False
neutrophil__breast__normal_vs_breast_cancer,7.7731,False
neutrophil__breast__normal_vs_breast_cancer,6.2718,False
neutrophil__breast__normal_vs_breast_cancer,5.7548,False
neutrophil__breast__normal_vs_breast_cancer,6.0159,False
neutrophil__breast__normal_vs_breast_cancer,7.0609,False
neutrophil__breast__normal_vs_breast_cancer,4.0758,False
neutrophil__breast__normal_vs_breast_cancer,4.5287,False
neutrophil__breast__normal_vs_breast_cancer,6.7007,False
neutrophil__breast__normal_vs_breast_cancer,5.6698,False
neutrophil__breast__normal_vs_breast_cancer,5.019,False
neutrophil__breast__normal_vs_breast_cancer,4.5719,False
neutrophil__breast__normal_vs_breast_cancer,5.0125,False
neutrophil__breast__normal_vs_breast_cancer,6.1104,False
neutrophil__breast__normal_vs_breast_cancer,4.846,False
neutrophil__breast__normal_vs_breast_cancer,4.9322,False
neutrophil__breast__normal_vs_breast_cancer,4.4461,False
neutrophil__breast__normal_vs_breast_cancer,3.2599,False
neutrophil__breast__normal_vs_breast_cancer,5.0489,False
neutrophil__breast__normal_vs_breast_cancer,3.4434,False
neutrophil__breast__normal_vs_breast_cancer,6.144,False
neutrophil__breast__normal_vs_breast_cancer,3.668,False
neutrophil__breast__normal_vs_breast_cancer,5.3034,False
neutrophil__breast__normal_vs_breast_cancer,3.8001,False
neutrophil__breast__normal_vs_breast_cancer,3.8887,False
neutrophil__breast__normal_vs_breast_cancer,3.856,False
neutrophil__breast__normal_vs_breast_cancer,5.1035,False
neutrophil__breast__normal_vs_breast_cancer,5.3111,False
neutrophil__breast__normal_vs_breast_cancer,5.2197,False
neutrophil__breast__normal_vs_breast_cancer,4.9791,False
neutrophil__breast__normal_vs_breast_cancer,5.2781,False
neutrophil__breast__normal_vs_breast_cancer,5.4467,False
neutrophil__breast__normal_vs_breast_cancer,6.5889,False
neutrophil__breast__normal_vs_breast_cancer,6.7226,False
neutrophil__breast__normal_vs_breast_cancer,5.4543,False
neutrophil__breast__normal_vs_breast_cancer,5.4572,False
neutrophil__breast__normal_vs_breast_cancer,6.2054,False
neutrophil__breast__normal_vs_breast_cancer,5.2209,False
neutrophil__breast__normal_vs_breast_cancer,6.3111,False
neutrophil__breast__normal_vs_breast_cancer,5.724,False
neutrophil__breast__normal_vs_breast_cancer,3.2771,False
neutrophil__breast__normal_vs_breast_cancer,4.1777,False
epithelial_cell__lung10x__normal_vs_lung_cancer,1.3952185,False
epithelial_cell__lung10x__normal_vs_lung_cancer,4.5738764,False
epithelial_cell__lung10x__normal_vs_lung_cancer,1.9570991,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.2020648,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.0912752,False
epithelial_cell__lung10x__normal_vs_lung_cancer,1.6798873,False
epithelial_cell__lung10x__normal_vs_lung_cancer,4.664138,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.1327019,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.348063,False
epithelial_cell__lung10x__normal_vs_lung_cancer,5.541883,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.3942635,False
epithelial_cell__lung10x__normal_vs_lung_cancer,2.4791708,False
epithelial_cell__lung10x__normal_vs_lung_cancer,2.2319438,False
epithelial_cell__lung10x__normal_vs_lung_cancer,4.6480117,False
epithelial_cell__lung10x__normal_vs_lung_cancer,7.15042,False
epithelial_cell__lung10x__normal_vs_lung_cancer,5.716979,False
epithelial_cell__lung10x__normal_vs_lung_cancer,5.2256594,False
epithelial_cell__lung10x__normal_vs_lung_cancer,5.394952,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.8611398,False
epithelial_cell__lung10x__normal_vs_lung_cancer,6.908223,False
epithelial_cell__lung10x__normal_vs_lung_cancer,5.2731314,False
epithelial_cell__lung10x__normal_vs_lung_cancer,4.459129,False
epithelial_cell__lung10x__normal_vs_lung_cancer,2.7694206,False
epithelial_cell__lung10x__normal_vs_lung_cancer,2.4733007,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.8389301,False
epithelial_cell__lung10x__normal_vs_lung_cancer,2.7766232,False
epithelial_cell__lung10x__normal_vs_lung_cancer,4.7068667,False
epithelial_cell__lung10x__normal_vs_lung_cancer,4.8981915,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.6979396,False
epithelial_cell__lung10x__normal_vs_lung_cancer,2.2516363,False
epithelial_cell__lung10x__normal_vs_lung_cancer,4.6932154,False
epithelial_cell__lung10x__normal_vs_lung_cancer,2.0076082,False
epithelial_cell__lung10x__normal_vs_lung_cancer,4.8026576,False
epithelial_cell__lung10x__normal_vs_lung_cancer,2.8516142,False
epithelial_cell__lung10x__normal_vs_lung_cancer,4.704812,False
epithelial_cell__lung10x__normal_vs_lung_cancer,1.7439669,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.4659598,False
epithelial_cell__lung10x__normal_vs_lung_cancer,1.111711,False
epithelial_cell__lung10x__normal_vs_lung_cancer,0.576661,False
epithelial_cell__lung10x__normal_vs_lung_cancer,5.427618,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.1529284,False
epithelial_cell__lung10x__normal_vs_lung_cancer,4.476647,False
epithelial_cell__lung10x__normal_vs_lung_cancer,6.510917,False
epithelial_cell__lung10x__normal_vs_lung_cancer,5.406664,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.8172019,False
epithelial_cell__lung10x__normal_vs_lung_cancer,4.955212,False
epithelial_cell__lung10x__normal_vs_lung_cancer,5.335696,False
epithelial_cell__lung10x__normal_vs_lung_cancer,2.6286848,False
epithelial_cell__lung10x__normal_vs_lung_cancer,4.0560684,False
epithelial_cell__lung10x__normal_vs_lung_cancer,4.479127,False
epithelial_cell__lung10x__normal_vs_lung_cancer,5.994073,False
epithelial_cell__lung10x__normal_vs_lung_cancer,5.109841,False
epithelial_cell__lung10x__normal_vs_lung_cancer,4.6691923,False
epithelial_cell__lung10x__normal_vs_lung_cancer,4.9608727,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.6489418,False
epithelial_cell__lung10x__normal_vs_lung_cancer,5.1863403,False
epithelial_cell__lung10x__normal_vs_lung_cancer,5.0942903,False
epithelial_cell__lung10x__normal_vs_lung_cancer,2.4275928,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.1757016,False
epithelial_cell__lung10x__normal_vs_lung_cancer,4.5390863,False
epithelial_cell__lung10x__normal_vs_lung_cancer,3.6623971,False
epithelial_cell__lung10x__normal_vs_lung_cancer,5.178765,False
