pair,level,gene,gene_name,log2fc,cav_r
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000198918,RPL39,-0.6402285296103962,-0.015184130633523614
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000187514,PTMA,0.6388150884380904,0.09869804339143122
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000103811,CTSH,0.6372991283839737,0.06262867297784734
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000237541,HLA-DQA2,0.6367683999177032,0.0450679395756828
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000111275,ALDH2,0.634424960864621,0.09300441221922967
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000010610,CD4,0.6327516490633253,0.09647001294987864
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000213741,RPS29,-0.6324768941867834,-0.0015706708019523979
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000167613,LAIR1,0.6310861384055158,0.046537537807811724
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000105223,PLD3,0.6309721324082432,0.06408903008582598
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000117091,CD48,-0.6301764637999394,0.047833502749487916
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000166340,TPP1,0.6294114405021912,0.037413242745798755
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000064601,CTSA,0.6285123536887279,0.07275159277505425
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000172543,CTSW,-0.6275343250465049,-0.010062572537440717
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000143851,PTPN7,-0.6253022340025174,0.08215305019047178
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000250479,CHCHD10,0.6232924318871028,0.008409044506569605
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000188243,COMMD6,-0.6225754321613044,-0.040530958862271205
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000168461,RAB31,0.6207689509510924,0.022211548844050202
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000177105,RHOG,0.6194209023922875,0.06176533519449118
